user_id,installed_at,created_at,updated_at,channel,campaign
u000038,2023-01-01 07:56:00,2023-01-01 08:51:00,2023-01-01 08:51:00,facebook,retargeting
u000039,2023-01-01 03:26:00,2023-01-01 03:50:00,2023-01-01 03:50:00,facebook,retargeting
u000040,2023-01-01 09:29:00,2023-01-01 09:58:00,2023-01-01 09:58:00,facebook,retargeting
u000041,2023-01-01 21:41:00,2023-01-01 22:34:00,2023-01-01 22:34:00,facebook,retargeting
u000042,2023-01-01 12:27:00,2023-01-01 12:37:00,2023-01-01 12:37:00,instagram,new_user_promo
u000043,2023-01-01 12:38:00,2023-01-01 13:00:00,2023-01-01 13:00:00,instagram,new_user_promo
u000044,2023-01-01 07:09:00,2023-01-01 07:51:00,2023-01-01 07:51:00,instagram,new_user_promo
u000045,2023-01-01 09:06:00,2023-01-01 09:50:00,2023-01-01 09:50:00,instagram,summer_sale
u000046,2023-01-01 23:19:00,2023-01-02 00:00:00,2023-01-02 00:00:00,instagram,summer_sale
u000047,2023-01-01 02:26:00,2023-01-01 03:04:00,2023-01-01 03:04:00,instagram,summer_sale
u000048,2023-01-01 21:40:00,2023-01-01 21:50:00,2023-01-01 21:50:00,instagram,holiday_special
u000049,2023-01-01 18:13:00,2023-01-01 18:59:00,2023-01-01 18:59:00,instagram,holiday_special
u000050,2023-01-01 08:21:00,2023-01-01 08:31:00,2023-01-01 08:31:00,instagram,brand_awareness
u000051,2023-01-01 15:46:00,2023-01-01 16:10:00,2023-01-01 16:10:00,instagram,retargeting
u000052,2023-01-01 09:12:00,2023-01-01 10:11:00,2023-01-01 10:11:00,instagram,retargeting
u000053,2023-01-01 21:50:00,2023-01-01 22:34:00,2023-01-01 22:34:00,instagram,retargeting
u000054,2023-01-01 19:00:00,2023-01-01 19:14:00,2023-01-01 19:14:00,instagram,retargeting
u000055,2023-01-01 23:22:00,2023-01-01 23:42:00,2023-01-01 23:42:00,twitter,new_user_promo
u000056,2023-01-01 01:54:00,2023-01-01 02:08:00,2023-01-01 02:08:00,twitter,summer_sale
u000057,2023-01-01 01:05:00,2023-01-01 01:56:00,2023-01-01 01:56:00,twitter,summer_sale
u000058,2023-01-01 10:46:00,2023-01-01 11:11:00,2023-01-01 11:11:00,twitter,holiday_special
u000059,2023-01-01 09:08:00,2023-01-01 09:12:00,2023-01-01 09:12:00,twitter,holiday_special
u000060,2023-01-01 07:12:00,2023-01-01 08:10:00,2023-01-01 08:10:00,twitter,brand_awareness
u000061,2023-01-01 19:21:00,2023-01-01 20:17:00,2023-01-01 20:17:00,twitter,retargeting
u000062,2023-01-01 10:44:00,2023-01-01 10:57:00,2023-01-01 10:57:00,twitter,retargeting
u000063,2023-01-01 22:22:00,2023-01-01 22:53:00,2023-01-01 22:53:00,twitter,retargeting
u000064,2023-01-01 13:30:00,2023-01-01 14:26:00,2023-01-01 14:26:00,affiliate,new_user_promo
u000065,2023-01-01 21:56:00,2023-01-01 22:25:00,2023-01-01 22:25:00,affiliate,new_user_promo
u000066,2023-01-01 04:52:00,2023-01-01 05:08:00,2023-01-01 05:08:00,affiliate,summer_sale
u000067,2023-01-01 04:45:00,2023-01-01 05:00:00,2023-01-01 05:00:00,affiliate,holiday_special
u000068,2023-01-01 19:09:00,2023-01-01 19:43:00,2023-01-01 19:43:00,affiliate,brand_awareness
u000069,2023-01-01 08:58:00,2023-01-01 09:45:00,2023-01-01 09:45:00,affiliate,retargeting
u000070,2023-01-01 19:57:00,2023-01-01 20:24:00,2023-01-01 20:24:00,affiliate,retargeting
u000071,2023-01-01 19:55:00,2023-01-01 20:20:00,2023-01-01 20:20:00,affiliate,retargeting
u000072,2023-01-01 12:21:00,2023-01-01 12:35:00,2023-01-01 12:35:00,affiliate,retargeting
u000073,2023-01-02 04:43:00,2023-01-02 05:15:00,2023-01-02 05:15:00,google_ads,new_user_promo
u000074,2023-01-02 16:50:00,2023-01-02 16:55:00,2023-01-02 16:55:00,google_ads,new_user_promo
u000075,2023-01-02 01:36:00,2023-01-02 02:31:00,2023-01-02 02:31:00,google_ads,new_user_promo
u000076,2023-01-02 03:44:00,2023-01-02 03:53:00,2023-01-02 03:53:00,google_ads,new_user_promo
u000077,2023-01-02 21:25:00,2023-01-02 21:35:00,2023-01-02 21:35:00,google_ads,new_user_promo
u000078,2023-01-02 23:13:00,2023-01-02 23:40:00,2023-01-02 23:40:00,google_ads,new_user_promo
u000079,2023-01-02 20:21:00,2023-01-02 20:25:00,2023-01-02 20:25:00,google_ads,summer_sale
u000080,2023-01-02 13:08:00,2023-01-02 13:32:00,2023-01-02 13:32:00,google_ads,summer_sale
u000081,2023-01-02 20:20:00,2023-01-02 20:49:00,2023-01-02 20:49:00,google_ads,summer_sale
u000082,2023-01-02 18:03:00,2023-01-02 18:19:00,2023-01-02 18:19:00,google_ads,summer_sale
u000083,2023-01-02 18:53:00,2023-01-02 19:48:00,2023-01-02 19:48:00,google_ads,holiday_special
u000084,2023-01-02 00:23:00,2023-01-02 01:06:00,2023-01-02 01:06:00,google_ads,holiday_special
u000085,2023-01-02 03:54:00,2023-01-02 04:37:00,2023-01-02 04:37:00,google_ads,holiday_special
u000086,2023-01-02 18:19:00,2023-01-02 19:07:00,2023-01-02 19:07:00,google_ads,holiday_special
u000087,2023-01-02 09:06:00,2023-01-02 09:55:00,2023-01-02 09:55:00,google_ads,holiday_special
u000088,2023-01-02 21:52:00,2023-01-02 22:13:00,2023-01-02 22:13:00,google_ads,brand_awareness
u000089,2023-01-02 03:48:00,2023-01-02 04:06:00,2023-01-02 04:06:00,google_ads,brand_awareness
u000090,2023-01-02 14:50:00,2023-01-02 15:00:00,2023-01-02 15:00:00,google_ads,retargeting
u000091,2023-01-02 15:29:00,2023-01-02 15:29:00,2023-01-02 15:29:00,google_ads,retargeting
u000092,2023-01-02 08:59:00,2023-01-02 09:31:00,2023-01-02 09:31:00,google_ads,retargeting
u000093,2023-01-02 06:05:00,2023-01-02 06:37:00,2023-01-02 06:37:00,google_ads,retargeting
u000094,2023-01-02 03:37:00,2023-01-02 04:32:00,2023-01-02 04:32:00,google_ads,retargeting
u000095,2023-01-02 21:20:00,2023-01-02 21:39:00,2023-01-02 21:39:00,google_ads,retargeting
u000096,2023-01-02 21:48:00,2023-01-02 22:20:00,2023-01-02 22:20:00,google_ads,retargeting
u000097,2023-01-02 20:47:00,2023-01-02 20:59:00,2023-01-02 20:59:00,facebook,new_user_promo
u000098,2023-01-02 05:13:00,2023-01-02 05:36:00,2023-01-02 05:36:00,facebook,new_user_promo
u000099,2023-01-02 05:30:00,2023-01-02 06:04:00,2023-01-02 06:04:00,facebook,new_user_promo
u000100,2023-01-02 18:06:00,2023-01-02 19:04:00,2023-01-02 19:04:00,facebook,new_user_promo
u000101,2023-01-02 00:01:00,2023-01-02 00:39:00,2023-01-02 00:39:00,facebook,new_user_promo
u000102,2023-01-02 11:03:00,2023-01-02 11:34:00,2023-01-02 11:34:00,facebook,summer_sale
u000103,2023-01-02 00:39:00,2023-01-02 00:46:00,2023-01-02 00:46:00,facebook,summer_sale
u000104,2023-01-02 12:23:00,2023-01-02 13:19:00,2023-01-02 13:19:00,facebook,summer_sale
u000105,2023-01-02 10:29:00,2023-01-02 10:44:00,2023-01-02 10:44:00,facebook,summer_sale
u000106,2023-01-02 01:58:00,2023-01-02 02:13:00,2023-01-02 02:13:00,facebook,holiday_special
u000107,2023-01-02 19:21:00,2023-01-02 20:21:00,2023-01-02 20:21:00,facebook,holiday_special
u000108,2023-01-02 02:41:00,2023-01-02 02:46:00,2023-01-02 02:46:00,facebook,holiday_special
u000109,2023-01-02 16:35:00,2023-01-02 17:27:00,2023-01-02 17:27:00,facebook,holiday_special
u000110,2023-01-02 02:21:00,2023-01-02 03:09:00,2023-01-02 03:09:00,facebook,brand_awareness
u000111,2023-01-02 18:10:00,2023-01-02 18:59:00,2023-01-02 18:59:00,facebook,brand_awareness
u000112,2023-01-02 04:17:00,2023-01-02 04:25:00,2023-01-02 04:25:00,facebook,retargeting
u000113,2023-01-02 22:31:00,2023-01-02 23:01:00,2023-01-02 23:01:00,facebook,retargeting
u000114,2023-01-02 18:45:00,2023-01-02 18:55:00,2023-01-02 18:55:00,facebook,retargeting
u000115,2023-01-02 09:02:00,2023-01-02 09:35:00,2023-01-02 09:35:00,facebook,retargeting
u000116,2023-01-02 20:42:00,2023-01-02 21:09:00,2023-01-02 21:09:00,facebook,retargeting
u000117,2023-01-02 07:13:00,2023-01-02 08:12:00,2023-01-02 08:12:00,facebook,retargeting
u000118,2023-01-02 18:24:00,2023-01-02 19:12:00,2023-01-02 19:12:00,facebook,retargeting
u000119,2023-01-02 23:32:00,2023-01-02 23:44:00,2023-01-02 23:44:00,facebook,retargeting
u000120,2023-01-02 10:38:00,2023-01-02 11:03:00,2023-01-02 11:03:00,facebook,retargeting
u000121,2023-01-02 22:55:00,2023-01-02 23:36:00,2023-01-02 23:36:00,instagram,new_user_promo
u000122,2023-01-02 12:44:00,2023-01-02 13:12:00,2023-01-02 13:12:00,instagram,new_user_promo
u000123,2023-01-02 17:39:00,2023-01-02 18:07:00,2023-01-02 18:07:00,instagram,new_user_promo
u000124,2023-01-02 04:07:00,2023-01-02 04:22:00,2023-01-02 04:22:00,instagram,summer_sale
u000125,2023-01-02 07:40:00,2023-01-02 07:44:00,2023-01-02 07:44:00,instagram,summer_sale
u000126,2023-01-02 11:32:00,2023-01-02 11:33:00,2023-01-02 11:33:00,instagram,holiday_special
u000127,2023-01-02 20:04:00,2023-01-02 20:39:00,2023-01-02 20:39:00,instagram,holiday_special
u000128,2023-01-02 07:51:00,2023-01-02 08:28:00,2023-01-02 08:28:00,instagram,brand_awareness
u000129,2023-01-02 07:31:00,2023-01-02 07:31:00,2023-01-02 07:31:00,instagram,retargeting
u000130,2023-01-02 02:25:00,2023-01-02 03:10:00,2023-01-02 03:10:00,instagram,retargeting
u000131,2023-01-02 21:32:00,2023-01-02 21:35:00,2023-01-02 21:35:00,instagram,retargeting
u000132,2023-01-02 07:48:00,2023-01-02 07:52:00,2023-01-02 07:52:00,instagram,retargeting
u000133,2023-01-02 01:04:00,2023-01-02 01:59:00,2023-01-02 01:59:00,instagram,retargeting
u000134,2023-01-02 11:16:00,2023-01-02 11:20:00,2023-01-02 11:20:00,instagram,retargeting
u000135,2023-01-02 17:32:00,2023-01-02 17:47:00,2023-01-02 17:47:00,instagram,retargeting
u000136,2023-01-02 09:30:00,2023-01-02 10:12:00,2023-01-02 10:12:00,instagram,retargeting
u000137,2023-01-02 16:34:00,2023-01-02 16:47:00,2023-01-02 16:47:00,instagram,retargeting
u000138,2023-01-02 18:24:00,2023-01-02 18:32:00,2023-01-02 18:32:00,instagram,retargeting
u000139,2023-01-02 19:29:00,2023-01-02 20:05:00,2023-01-02 20:05:00,twitter,new_user_promo
u000140,2023-01-02 16:08:00,2023-01-02 16:23:00,2023-01-02 16:23:00,twitter,new_user_promo
u000141,2023-01-02 16:08:00,2023-01-02 16:59:00,2023-01-02 16:59:00,twitter,summer_sale
u000142,2023-01-02 13:53:00,2023-01-02 14:05:00,2023-01-02 14:05:00,twitter,summer_sale
u000143,2023-01-02 03:13:00,2023-01-02 03:19:00,2023-01-02 03:19:00,twitter,summer_sale
u000144,2023-01-02 22:29:00,2023-01-02 22:56:00,2023-01-02 22:56:00,twitter,holiday_special
u000145,2023-01-02 12:05:00,2023-01-02 12:32:00,2023-01-02 12:32:00,twitter,holiday_special
u000146,2023-01-02 14:01:00,2023-01-02 14:30:00,2023-01-02 14:30:00,twitter,brand_awareness
u000147,2023-01-02 01:50:00,2023-01-02 02:33:00,2023-01-02 02:33:00,twitter,retargeting
u000148,2023-01-02 22:18:00,2023-01-02 22:59:00,2023-01-02 22:59:00,twitter,retargeting
u000149,2023-01-02 03:21:00,2023-01-02 03:24:00,2023-01-02 03:24:00,twitter,retargeting
u000150,2023-01-02 13:44:00,2023-01-02 14:30:00,2023-01-02 14:30:00,affiliate,new_user_promo
u000151,2023-01-02 11:34:00,2023-01-02 12:25:00,2023-01-02 12:25:00,affiliate,new_user_promo
u000152,2023-01-02 03:43:00,2023-01-02 03:58:00,2023-01-02 03:58:00,affiliate,summer_sale
u000153,2023-01-02 06:32:00,2023-01-02 06:44:00,2023-01-02 06:44:00,affiliate,summer_sale
u000154,2023-01-02 18:18:00,2023-01-02 18:46:00,2023-01-02 18:46:00,affiliate,holiday_special
u000155,2023-01-02 04:47:00,2023-01-02 05:14:00,2023-01-02 05:14:00,affiliate,holiday_special
u000156,2023-01-02 06:15:00,2023-01-02 06:32:00,2023-01-02 06:32:00,affiliate,brand_awareness
u000157,2023-01-02 15:47:00,2023-01-02 16:02:00,2023-01-02 16:02:00,affiliate,retargeting
u000158,2023-01-02 02:34:00,2023-01-02 03:02:00,2023-01-02 03:02:00,affiliate,retargeting
u000159,2023-01-02 18:47:00,2023-01-02 18:53:00,2023-01-02 18:53:00,affiliate,retargeting
u000160,2023-01-02 01:43:00,2023-01-02 02:24:00,2023-01-02 02:24:00,affiliate,retargeting
u000161,2023-01-03 18:27:00,2023-01-03 19:20:00,2023-01-03 19:20:00,google_ads,new_user_promo
u000162,2023-01-03 00:30:00,2023-01-03 00:35:00,2023-01-03 00:35:00,google_ads,new_user_promo
u000163,2023-01-03 08:04:00,2023-01-03 08:14:00,2023-01-03 08:14:00,google_ads,new_user_promo
u000164,2023-01-03 13:52:00,2023-01-03 14:23:00,2023-01-03 14:23:00,google_ads,new_user_promo
u000165,2023-01-03 16:25:00,2023-01-03 16:38:00,2023-01-03 16:38:00,google_ads,new_user_promo
u000166,2023-01-03 13:41:00,2023-01-03 14:38:00,2023-01-03 14:38:00,google_ads,summer_sale
u000167,2023-01-03 02:00:00,2023-01-03 02:10:00,2023-01-03 02:10:00,google_ads,summer_sale
u000168,2023-01-03 12:56:00,2023-01-03 12:56:00,2023-01-03 12:56:00,google_ads,summer_sale
u000169,2023-01-03 13:19:00,2023-01-03 13:35:00,2023-01-03 13:35:00,google_ads,summer_sale
u000170,2023-01-03 15:31:00,2023-01-03 15:49:00,2023-01-03 15:49:00,google_ads,summer_sale
u000171,2023-01-03 14:26:00,2023-01-03 15:10:00,2023-01-03 15:10:00,google_ads,summer_sale
u000172,2023-01-03 18:58:00,2023-01-03 19:40:00,2023-01-03 19:40:00,google_ads,holiday_special
u000173,2023-01-03 16:36:00,2023-01-03 16:45:00,2023-01-03 16:45:00,google_ads,holiday_special
u000174,2023-01-03 06:28:00,2023-01-03 06:46:00,2023-01-03 06:46:00,google_ads,holiday_special
u000175,2023-01-03 07:25:00,2023-01-03 07:28:00,2023-01-03 07:28:00,google_ads,holiday_special
u000176,2023-01-03 19:46:00,2023-01-03 20:33:00,2023-01-03 20:33:00,google_ads,holiday_special
u000177,2023-01-03 18:30:00,2023-01-03 18:33:00,2023-01-03 18:33:00,google_ads,brand_awareness
u000178,2023-01-03 10:42:00,2023-01-03 10:45:00,2023-01-03 10:45:00,google_ads,brand_awareness
u000179,2023-01-03 01:42:00,2023-01-03 02:19:00,2023-01-03 02:19:00,google_ads,brand_awareness
u000180,2023-01-03 16:16:00,2023-01-03 16:48:00,2023-01-03 16:48:00,google_ads,retargeting
u000181,2023-01-03 18:07:00,2023-01-03 18:17:00,2023-01-03 18:17:00,google_ads,retargeting
u000182,2023-01-03 01:56:00,2023-01-03 02:28:00,2023-01-03 02:28:00,google_ads,retargeting
u000183,2023-01-03 02:44:00,2023-01-03 03:38:00,2023-01-03 03:38:00,google_ads,retargeting
u000184,2023-01-03 06:20:00,2023-01-03 06:24:00,2023-01-03 06:24:00,google_ads,retargeting
u000185,2023-01-03 20:18:00,2023-01-03 20:22:00,2023-01-03 20:22:00,google_ads,retargeting
u000186,2023-01-03 23:02:00,2023-01-03 23:57:00,2023-01-03 23:57:00,google_ads,retargeting
u000187,2023-01-03 08:01:00,2023-01-03 08:26:00,2023-01-03 08:26:00,google_ads,retargeting
u000188,2023-01-03 04:05:00,2023-01-03 05:05:00,2023-01-03 05:05:00,google_ads,retargeting
u000189,2023-01-03 19:26:00,2023-01-03 19:41:00,2023-01-03 19:41:00,facebook,new_user_promo
u000190,2023-01-03 19:45:00,2023-01-03 20:23:00,2023-01-03 20:23:00,facebook,new_user_promo
u000191,2023-01-03 01:21:00,2023-01-03 02:00:00,2023-01-03 02:00:00,facebook,new_user_promo
u000192,2023-01-03 02:47:00,2023-01-03 03:13:00,2023-01-03 03:13:00,facebook,new_user_promo
u000193,2023-01-03 22:26:00,2023-01-03 23:03:00,2023-01-03 23:03:00,facebook,summer_sale
u000194,2023-01-03 19:17:00,2023-01-03 19:50:00,2023-01-03 19:50:00,facebook,summer_sale
u000195,2023-01-03 10:47:00,2023-01-03 11:46:00,2023-01-03 11:46:00,facebook,summer_sale
u000196,2023-01-03 08:54:00,2023-01-03 09:07:00,2023-01-03 09:07:00,facebook,holiday_special
u000197,2023-01-03 22:51:00,2023-01-03 23:36:00,2023-01-03 23:36:00,facebook,holiday_special
u000198,2023-01-03 10:43:00,2023-01-03 10:58:00,2023-01-03 10:58:00,facebook,holiday_special
u000199,2023-01-03 09:03:00,2023-01-03 09:28:00,2023-01-03 09:28:00,facebook,holiday_special
u000200,2023-01-03 04:28:00,2023-01-03 05:10:00,2023-01-03 05:10:00,facebook,brand_awareness
u000201,2023-01-03 22:01:00,2023-01-03 22:20:00,2023-01-03 22:20:00,facebook,brand_awareness
u000202,2023-01-03 15:36:00,2023-01-03 15:56:00,2023-01-03 15:56:00,facebook,retargeting
u000203,2023-01-03 02:28:00,2023-01-03 02:28:00,2023-01-03 02:28:00,facebook,retargeting
u000204,2023-01-03 15:38:00,2023-01-03 16:17:00,2023-01-03 16:17:00,facebook,retargeting
u000205,2023-01-03 19:13:00,2023-01-03 19:19:00,2023-01-03 19:19:00,facebook,retargeting
u000206,2023-01-03 02:30:00,2023-01-03 03:04:00,2023-01-03 03:04:00,facebook,retargeting
u000207,2023-01-03 07:16:00,2023-01-03 07:48:00,2023-01-03 07:48:00,facebook,retargeting
u000208,2023-01-03 09:03:00,2023-01-03 09:11:00,2023-01-03 09:11:00,facebook,retargeting
u000209,2023-01-03 11:54:00,2023-01-03 12:50:00,2023-01-03 12:50:00,instagram,new_user_promo
u000210,2023-01-03 02:20:00,2023-01-03 03:16:00,2023-01-03 03:16:00,instagram,new_user_promo
u000211,2023-01-03 08:20:00,2023-01-03 08:43:00,2023-01-03 08:43:00,instagram,new_user_promo
u000212,2023-01-03 09:43:00,2023-01-03 09:53:00,2023-01-03 09:53:00,instagram,new_user_promo
u000213,2023-01-03 14:57:00,2023-01-03 15:50:00,2023-01-03 15:50:00,instagram,new_user_promo
u000214,2023-01-03 18:32:00,2023-01-03 19:17:00,2023-01-03 19:17:00,instagram,summer_sale
u000215,2023-01-03 10:19:00,2023-01-03 10:58:00,2023-01-03 10:58:00,instagram,summer_sale
u000216,2023-01-03 22:19:00,2023-01-03 22:52:00,2023-01-03 22:52:00,instagram,summer_sale
u000217,2023-01-03 00:16:00,2023-01-03 00:58:00,2023-01-03 00:58:00,instagram,summer_sale
u000218,2023-01-03 18:55:00,2023-01-03 19:14:00,2023-01-03 19:14:00,instagram,summer_sale
u000219,2023-01-03 22:38:00,2023-01-03 22:44:00,2023-01-03 22:44:00,instagram,holiday_special
u000220,2023-01-03 04:35:00,2023-01-03 04:51:00,2023-01-03 04:51:00,instagram,holiday_special
u000221,2023-01-03 03:56:00,2023-01-03 04:52:00,2023-01-03 04:52:00,instagram,brand_awareness
u000222,2023-01-03 03:39:00,2023-01-03 04:26:00,2023-01-03 04:26:00,instagram,retargeting
u000223,2023-01-03 18:53:00,2023-01-03 19:02:00,2023-01-03 19:02:00,instagram,retargeting
u000224,2023-01-03 09:17:00,2023-01-03 09:35:00,2023-01-03 09:35:00,instagram,retargeting
u000225,2023-01-03 20:38:00,2023-01-03 20:51:00,2023-01-03 20:51:00,instagram,retargeting
u000226,2023-01-03 11:42:00,2023-01-03 11:55:00,2023-01-03 11:55:00,instagram,retargeting
u000227,2023-01-03 23:27:00,2023-01-04 00:07:00,2023-01-04 00:07:00,instagram,retargeting
u000228,2023-01-03 09:00:00,2023-01-03 09:32:00,2023-01-03 09:32:00,twitter,new_user_promo
u000229,2023-01-03 16:40:00,2023-01-03 16:56:00,2023-01-03 16:56:00,twitter,new_user_promo
u000230,2023-01-03 01:44:00,2023-01-03 01:49:00,2023-01-03 01:49:00,twitter,summer_sale
u000231,2023-01-03 21:39:00,2023-01-03 22:06:00,2023-01-03 22:06:00,twitter,summer_sale
u000232,2023-01-03 09:26:00,2023-01-03 09:28:00,2023-01-03 09:28:00,twitter,holiday_special
u000233,2023-01-03 00:07:00,2023-01-03 00:28:00,2023-01-03 00:28:00,twitter,brand_awareness
u000234,2023-01-03 04:27:00,2023-01-03 05:07:00,2023-01-03 05:07:00,twitter,retargeting
u000235,2023-01-03 08:56:00,2023-01-03 09:06:00,2023-01-03 09:06:00,twitter,retargeting
u000236,2023-01-03 15:04:00,2023-01-03 15:39:00,2023-01-03 15:39:00,twitter,retargeting
u000237,2023-01-03 14:35:00,2023-01-03 15:10:00,2023-01-03 15:10:00,twitter,retargeting
u000238,2023-01-03 00:19:00,2023-01-03 00:26:00,2023-01-03 00:26:00,twitter,retargeting
u000239,2023-01-03 02:34:00,2023-01-03 03:34:00,2023-01-03 03:34:00,twitter,retargeting
u000240,2023-01-03 23:35:00,2023-01-04 00:32:00,2023-01-04 00:32:00,affiliate,new_user_promo
u000241,2023-01-03 05:05:00,2023-01-03 05:39:00,2023-01-03 05:39:00,affiliate,summer_sale
u000242,2023-01-03 01:13:00,2023-01-03 02:06:00,2023-01-03 02:06:00,affiliate,holiday_special
u000243,2023-01-03 12:36:00,2023-01-03 13:13:00,2023-01-03 13:13:00,affiliate,holiday_special
u000244,2023-01-03 18:51:00,2023-01-03 19:00:00,2023-01-03 19:00:00,affiliate,brand_awareness
u000245,2023-01-03 14:40:00,2023-01-03 14:48:00,2023-01-03 14:48:00,affiliate,retargeting
u000246,2023-01-03 01:25:00,2023-01-03 01:44:00,2023-01-03 01:44:00,affiliate,retargeting
u000247,2023-01-03 12:26:00,2023-01-03 13:23:00,2023-01-03 13:23:00,affiliate,retargeting
u000248,2023-01-04 01:21:00,2023-01-04 02:18:00,2023-01-04 02:18:00,google_ads,new_user_promo
u000249,2023-01-04 12:12:00,2023-01-04 12:25:00,2023-01-04 12:25:00,google_ads,new_user_promo
u000250,2023-01-04 23:16:00,2023-01-04 23:31:00,2023-01-04 23:31:00,google_ads,new_user_promo
u000251,2023-01-04 22:45:00,2023-01-04 22:51:00,2023-01-04 22:51:00,google_ads,new_user_promo
u000252,2023-01-04 12:04:00,2023-01-04 12:53:00,2023-01-04 12:53:00,google_ads,new_user_promo
u000253,2023-01-04 19:06:00,2023-01-04 20:02:00,2023-01-04 20:02:00,google_ads,summer_sale
u000254,2023-01-04 13:52:00,2023-01-04 14:31:00,2023-01-04 14:31:00,google_ads,summer_sale
u000255,2023-01-04 05:16:00,2023-01-04 06:15:00,2023-01-04 06:15:00,google_ads,summer_sale
u000256,2023-01-04 08:04:00,2023-01-04 08:59:00,2023-01-04 08:59:00,google_ads,summer_sale
u000257,2023-01-04 05:32:00,2023-01-04 06:23:00,2023-01-04 06:23:00,google_ads,holiday_special
u000258,2023-01-04 06:02:00,2023-01-04 06:58:00,2023-01-04 06:58:00,google_ads,holiday_special
u000259,2023-01-04 14:04:00,2023-01-04 14:05:00,2023-01-04 14:05:00,google_ads,holiday_special
u000260,2023-01-04 06:07:00,2023-01-04 06:54:00,2023-01-04 06:54:00,google_ads,holiday_special
u000261,2023-01-04 11:20:00,2023-01-04 12:10:00,2023-01-04 12:10:00,google_ads,holiday_special
